A_df,B_df,similarity
92,0,0.5513294706628179
92,6,0.5188974293085897
93,4,0.5607106825467929
93,0,0.5456102804969207
93,5,0.5182961789250107
94,4,0.5641507916634871
94,0,0.5532160389406423
94,3,0.5411889986444491
95,0,0.6367070302208191
95,4,0.5468033595583832
95,1,0.5385049516019977
96,0,0.523112343160971
96,3,0.4928089140816996
96,4,0.47661636459195966
97,4,0.5321178954560312
97,0,0.5320270016921819
97,6,0.5254588905069751
98,0,0.5499486134143394
98,4,0.5204635358731879
98,1,0.511518268442581
